,Product Name,Brand,Price,Rating,Offer,Review Count,Suction Capacity,Size,Offer_clean,Suction_clean,Rating_Performance,suction_bins
351,Amplesta Sereno,Amplesta,13999,3.8,30% off,9.0,1250 CMH,60.0,30.0,1250.0,Good,1000 - 1500 CMH
352,RUWA RAVE,RUWA,7399,4.1,67% off,19.0,1250 CMH,60.0,67.0,1250.0,Excellent,1000 - 1500 CMH
353,Midea 90V11,Midea,18429,4.0,51% off,1.0,1250 CMH,50.0,51.0,1250.0,Good,1000 - 1500 CMH
354,Carysil Vista,Carysil,12499,4.1,67% off,0.0,1350 CMH,90.0,67.0,1350.0,Excellent,1000 - 1500 CMH
355,FABER HOOD,FABER,6898,3.8,18% off,594.0,800 CMH,60.0,18.0,800.0,Good,500 - 1000 CMH
356,FABER Hood,FABER,28340,3.7,42% off,46.0,1150 CMH,90.0,42.0,1150.0,Good,1000 - 1500 CMH
357,Hindware Divina,Hindware,18599,4.1,64% off,34.0,1100 CMH,90.0,64.0,1100.0,Excellent,1000 - 1500 CMH
358,Hindware EVITA,Hindware,12290,4.0,67% off,1.0,1800 CMH,5.0,67.0,1800.0,Good,1500 -2000 CHM
359,Flowtric Westerlies,Flowtric,18999,4.1,67% off,34.0,1500 CMH,90.0,67.0,1500.0,Excellent,1000 - 1500 CMH
360,Uplift Disco,Uplift,8998,3.4,53% off,2.0,1350 CMH,90.0,53.0,1350.0,Good,1000 - 1500 CMH
361,FABER HOOD,FABER,17490,4.1,67% off,206.0,1250 CMH,90.0,67.0,1250.0,Excellent,1000 - 1500 CMH
