,Product Name,Brand,Price,Rating,Offer,Review Count,Suction Capacity,Size,Offer_clean,Suction_clean,Rating_Performance,suction_bins
200,Sunflame Lamia,Sunflame,3578,3.6,36% off,15.0,1500 CMH,60.0,36.0,1500.0,Good,1000 - 1500 CMH
201,Amplesta Sereno,Amplesta,10490,3.7,48% off,37.0,1350 CMH,60.0,48.0,1350.0,Good,1000 - 1500 CMH
202,Amplesta EcoFlow,Amplesta,12170,3.7,67% off,16.0,1000 CMH,90.0,67.0,1000.0,Good,500 - 1000 CMH
203,FABER Hood,FABER,11499,4.4,44% off,112.0,1200 CMH,60.0,44.0,1200.0,Excellent,1000 - 1500 CMH
204,FABER HOOD,FABER,10999,4.4,49% off,32.0,1200 CMH,90.0,49.0,1200.0,Excellent,1000 - 1500 CMH
205,FABER Hood,FABER,12599,4.3,51% off,17.0,1500 CMH,75.0,51.0,1500.0,Excellent,1000 - 1500 CMH
206,FABER HOOD,FABER,7399,4.1,54% off,41.0,1350 CMH,60.0,54.0,1350.0,Excellent,1000 - 1500 CMH
207,Elica WDFL,Elica,13999,4.1,63% off,32.0,1000 CMH,60.0,63.0,1000.0,Excellent,500 - 1000 CMH
208,Kutchina Signia,Kutchina,15679,4.1,73% off,52.0,1400 CMH,60.0,73.0,1400.0,Excellent,1000 - 1500 CMH
209,FABER HOOD,FABER,16690,4.2,68% off,114.0,1350 CMH,75.0,68.0,1350.0,Excellent,1000 - 1500 CMH
210,Kutchina FASCINO,Kutchina,6898,4.1,44% off,10.0,1250 CMH,60.0,44.0,1250.0,Excellent,1000 - 1500 CMH
211,RUWA VIVA,RUWA,3998,3.8,64% off,594.0,800 CMH,60.0,64.0,800.0,Good,500 - 1000 CMH
212,Kaff KEC60A,Kaff,28340,3.7,67% off,4.0,1150 CMH,90.0,67.0,1150.0,Good,1000 - 1500 CMH
213,Elica BFCG,Elica,9603,4.2,57% off,253.0,1350 CMH,56.0,57.0,1350.0,Excellent,1000 - 1500 CMH
214,Elica BLDC,Elica,10451,3.8,48% off,4.0,1250 CMH,60.0,48.0,1250.0,Good,1000 - 1500 CMH
215,Amplesta Sereno,Amplesta,5357,4.1,62% off,206.0,1250 CMH,90.0,62.0,1250.0,Excellent,1000 - 1500 CMH
216,Hindware Smart,Hindware,17490,3.7,44% off,46.0,1500 CMH,60.0,44.0,1500.0,Good,1000 - 1500 CMH
217,Elica FL,Elica,7490,4.3,67% off,206.0,Suction Capacity: 1200 CHM,90.0,67.0,1200.0,Excellent,1000 - 1500 CMH
218,Hindware Smart,Hindware,17290,4.2,63% off,11.0,1600 CMH,60.0,63.0,1600.0,Excellent,1500 -2000 CHM
219,Eurodomo HOOD,Eurodomo,9963,4.1,59% off,253.0,1200 CMH,90.0,59.0,1200.0,Excellent,1000 - 1500 CMH
220,FABER HOOD,FABER,4192,4.2,71% off,34.0,1200 CMH,60.0,71.0,1200.0,Excellent,1000 - 1500 CMH
221,Amplesta Sereno,Amplesta,7199,4.3,48% off,46.0,1350 CMH,75.0,48.0,1350.0,Excellent,1000 - 1500 CMH
222,Amplesta EcoFlow,Amplesta,5357,4.1,67% off,9.0,1350 CMH,60.0,67.0,1350.0,Excellent,1000 - 1500 CMH
223,Elica ESCG,Elica,16690,4.4,66% off,61.0,1100 CMH,90.0,66.0,1100.0,Excellent,1000 - 1500 CMH
224,Elica Strip,Elica,5271,4.1,54% off,535.0,880 CMH,60.0,54.0,880.0,Excellent,500 - 1000 CMH
225,FABER Hood,FABER,9963,4.4,65% off,26.0,1350 CMH,90.0,65.0,1350.0,Excellent,1000 - 1500 CMH
226,FABER HOOD,FABER,4192,3.9,62% off,4.0,800 CMH,75.0,62.0,800.0,Good,500 - 1000 CMH
227,Elica iSMART,Elica,6449,4.2,30% off,57.0,1425 CMH,60.0,30.0,1425.0,Excellent,1000 - 1500 CMH
